,날짜,언론사,기사제목,링크
0, 2022.08.05 15:48,헤럴드경제,"인텔리안테크, 4억 규모 자사주 처분 결정",https://finance.naver.com/item/news_read.naver?article_id=0002025115&office_id=016&code=189300&page=3&sm=
1, 2022.05.23 07:46,머니투데이,"인텔리안테크, 하반기 원웹향 매출 발생 여부 주목-KB증권",https://finance.naver.com/item/news_read.naver?article_id=0004749257&office_id=008&code=189300&page=3&sm=
2, 2022.05.23 07:26,아시아경제,"[클릭 e종목]""인텔리안테크, 하반기 원웹향 매출 본격 발생 전망""",https://finance.naver.com/item/news_read.naver?article_id=0005092525&office_id=277&code=189300&page=3&sm=
